title,slogan,address,phone/0,email,web,categories/0,phone/1,categories/1,categories/2,socialNetwork/0,socialNetwork/1,categories/3,phone/2,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,socialNetwork/2,socialNetwork/3,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,,phone/3,phone/4,phone/5,phone/6,phone/7,phone/8,phone/9,categories/20,categories/21,categories/22,categories/23,categories/24,categories/25
Salsa Hit,, Calle Salamanca 2110 ,3487856,,,Grupos electrónicos,, musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA BODEGUITA COSMICA,Tienda Mística, Calle 24 de Septiembre Nº 333-B ,3363537,,www.labodeguitacosmica.com,Aromaterapia,,Artesanias misticas,Artesanías,,,Feng,, shui,Libreria mística,Terapias alternativas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGENIERIA Y SERVICIOS PIRAMEX LTDA.,, Avenida Banzer Entre 4to Y 5to Anillo Km. 3 1/2 N° S/n ,3270755,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS DE ACEITE S.A.,, Carretera Al Norte Km. 6 1/2 N° S/n ,3443000,,,Elaboración de aceites y grasas de origen vegetal y animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synergy Ltda,, Tercer Anillo Nº 3275 ,3420345,,,Industrias madereras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE INTERNACIONAL LOS AMIGOS S.R.L.,, Barrio Transportista Calle 2 N° 142 ,74937875,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrodiesel,, Av. Cristo Redentor Nº 146 ,3362839,,,Laboratorios de inyección diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARDERIA E INSTITUTO DE COMPUTACION HAMAQUITAS,, Av.beni N° 607 ,3402421,,,Educación preescolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROPECUARIA CAPARU LIMITADA.,, Calle Rio Urbari Barrio Las Palmas N° 6 ,3434317,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLO A LA BROASTER KIKIRIKI,, Avenida 25 De Mayo N° S/n Edificio: S/n. Piso: S/n. Oficina: S/n. ,9232165,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
